000001.SS,^GSPC,^N225,^STOXX,Index
3249.781006,2475.419922,20079.64063,382.3200073,2918.237823
3253.23999,2472.100098,19959.83984,378.3399963,3042.747612
3273.028076,2470.300049,19925.17969,377.8500061,3122.233791
3292.637939,2476.350098,19985.78906,377.8500061,2988.065308
3285.056885,2477.570068,20080.03906,378.6300049,2972.754116
3272.928955,2472.159912,20029.25977,378.9299927,3072.933475
3262.081055,2476.830078,19952.33008,382.5299988,3162.41259
3279.457031,2480.909912,20055.89063,382.0100098,3693.915436
3281.873047,2474.919922,19996.00977,382.6499939,3765.340855
3275.572998,2474.02002,19738.71094,379.8399963,3686.508881
3261.749023,2438.209961,19729.74023,376.0499878,3723.671829
3208.541016,2441.320068,19729.74023,372.1400146,4006.58353
3237.360107,2465.840088,19537.09961,376.1600037,4671.031368
3251.261963,2464.610107,19753.31055,376.5,4515.054668
3246.450928,2468.110107,19729.2793,379.0899963,4723.04808
3268.429932,2430.01001,19702.63086,376.8699951,4677.061543
3268.724121,2425.550049,19470.41016,374.2000122,4503.491512
3286.906006,2428.370117,19393.13086,372.7200012,4371.266994
3290.226074,2452.51001,19383.83984,375.7999878,4462.032124
3287.705078,2444.040039,19434.64063,373.9200134,4522.287132
3271.511963,2438.969971,19353.76953,374.5100098,4710.476768
3331.521973,2443.050049,19452.60938,374.0700073,4754.691906
3362.650879,2444.23999,19449.90039,372.2900085,4792.762665
3365.226074,2446.300049,19362.55078,368.4200134,5012.854012
3363.626953,2457.590088,19506.53906,371.0100098,5007.954086
3360.810059,2471.649902,19646.24023,373.8800049,5157.487228
3367.118896,2476.550049,19691.4707,376.1400146,5365.790466
3379.835938,2476.550049,19508.25,374.1799927,4596.686852
3384.316895,2457.850098,19385.81055,373.7099915,4760.812592
3385.388916,2465.540039,19357.9707,373.9500122,5011.572433
3365.49707,2465.100098,19396.51953,374.9500122,5007.792191
3365.24292,2461.429932,19274.82031,375.5100098,4593.041809
3376.418945,2488.110107,19545.76953,379.4299927,4521.841934
3379.488037,2496.47998,19776.61914,381.4200134,4486.507751
3384.146973,2498.370117,19865.82031,381.3399963,4221.432186
3371.426025,2495.620117,19807.43945,381.7900085,3410.442856
3353.618896,2500.22998,19909.5,380.7099915,3936.196625
3362.858887,2503.870117,19909.5,381.9500122,4414.222359
3356.844971,2506.649902,20299.38086,382.1199951,4260.609257
3365.996094,2508.23999,20310.46094,381.980011,4241.61492
3357.812012,2500.600098,20347.48047,382.8800049,3936.395506
3352.529053,2502.219971,20296.44922,383.2200012,3943.250753
3341.549072,2496.659912,20397.58008,383.8999939,4270.164368
3343.583008,2496.840088,20330.18945,384.0299988,4231.529843
3345.271973,2507.040039,20267.05078,385.6199951,4563.614618
3339.64209,2510.060059,20363.10938,386.3599854,4528.213976
3348.943115,2519.360107,20356.2793,388.1600037,4507.468276
3348.943115,2529.120117,20400.7793,390.1300049,4760.553529
3348.943115,2534.580078,20614.07031,390.7200012,4662.658946
3348.943115,2537.73999,20626.66016,390.3999939,4573.836647
3348.943115,2552.070068,20628.56055,391.0299988,4676.370688
3348.943115,2549.330078,20690.71094,389.4700012,4732.012473
3374.37793,2544.72998,20690.71094,390.2099915,5119.978722
3382.988037,2550.639893,20823.50977,390.1600037,5133.006328
3388.283936,2555.23999,20881.26953,390.1499939,5181.296458
3386.100098,2550.929932,20954.7207,390.2799988,5811.624007
3390.522949,2553.169922,21155.17969,391.4200134,6045.864095
3378.469971,2557.639893,21255.56055,391.4100037,6124.048504
3372.041016,2559.360107,21336.11914,390.4400024,5982.498831
3381.793945,2561.26001,21363.05078,391.5599976,5966.132662
3370.172119,2562.100098,21448.51953,389.1099854,6076.674765
3378.647949,2575.209961,21457.64063,390.1300049,6376.041312
3380.698975,2564.97998,21696.65039,390.7399902,6272.464166
3388.248047,2569.129883,21805.16992,389.3299866,5881.212985
3396.897949,2557.149902,21707.61914,387.1300049,6105.501055
3407.566895,2560.399902,21739.7793,391.269989,6257.349258
3416.812012,2581.070068,22008.44922,393.4299927,6133.906334
3390.336914,2572.830078,22011.66992,393.9100037,6494.909723
3393.342041,2575.26001,22011.60938,395.2200012,6830.25735
3395.913086,2579.360107,22420.08008,396.769989,7112.365457
3383.310059,2579.850098,22539.11914,394.9400024,7420.855019
3371.743896,2587.840088,22539.11914,396.0599976,7569.84659
3388.174072,2591.129883,22548.34961,396.5899963,7377.014799
